order_date,customer_id,city,product_id,product_name,units_in_stock,unit_price,quantity,discount,category_id,category_name,total_price,year,month,day,yearquarter,unit_price_winsorized_0.05,discount_effective
1996-07-04,VINET,Reims,11,Queso Cabrales,22,14.0,12,0.0,4,Dairy Products,168.0,1996,7,4,1996 Q3,14.0,0
1996-07-04,VINET,Reims,42,Singaporean Hokkien Fried Mee,26,9.8,10,0.0,5,Grains/Cereals,98.0,1996,7,4,1996 Q3,9.8,0
1996-07-04,VINET,Reims,72,Mozzarella di Giovanni,14,34.8,5,0.0,4,Dairy Products,174.0,1996,7,4,1996 Q3,34.8,0
1996-07-05,TOMSP,Münster,14,Tofu,35,18.6,9,0.0,7,Produce,167.4,1996,7,5,1996 Q3,18.6,0
1996-07-05,TOMSP,Münster,51,Manjimup Dried Apples,20,42.4,40,0.0,7,Produce,1696.0,1996,7,5,1996 Q3,42.4,0
1996-07-08,HANAR,Rio de Janeiro,41,Jack's New England Clam Chowder,85,7.7,10,0.0,8,Seafood,77.0,1996,7,8,1996 Q3,7.7,0
1996-07-08,HANAR,Rio de Janeiro,51,Manjimup Dried Apples,20,42.4,35,0.15,7,Produce,1261.3999999999999,1996,7,8,1996 Q3,42.4,0
1996-07-08,HANAR,Rio de Janeiro,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,15,0.15,2,Condiments,214.2,1996,7,8,1996 Q3,16.8,0
1996-07-08,VICTE,Lyon,22,Gustaf's Knäckebröd,104,16.8,6,0.05,5,Grains/Cereals,95.76,1996,7,8,1996 Q3,16.8,0
1996-07-08,VICTE,Lyon,57,Ravioli Angelo,36,15.6,15,0.05,5,Grains/Cereals,222.29999999999998,1996,7,8,1996 Q3,15.6,0
1996-07-08,VICTE,Lyon,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,20,0.0,2,Condiments,336.0,1996,7,8,1996 Q3,16.8,0
1996-07-09,SUPRD,Charleroi,20,Sir Rodney's Marmalade,40,55.0,40,0.05,3,Confections,2462.4,1996,7,9,1996 Q3,55.0,0
1996-07-09,SUPRD,Charleroi,33,Geitost,112,5.9,25,0.05,4,Dairy Products,47.5,1996,7,9,1996 Q3,5.9,0
1996-07-09,SUPRD,Charleroi,60,Camembert Pierrot,19,27.2,40,0.0,4,Dairy Products,1088.0,1996,7,9,1996 Q3,27.2,0
